title,authors,average_rating,isbn,ratings_count,publication_date,genre,open_library_work_key,source_url
A Wizard of Earthsea,Ursula K. Le Guin,3.957265,9788385276005,117,1968,Fantasy,/works/OL59798W,https://openlibrary.org/works/OL59798W
Beloved,Toni Morrison,3.9166667,9785699874958,72,1987,Historical Fiction,/works/OL50548W,https://openlibrary.org/works/OL50548W
Dracula,Bram Stoker,4.0384617,9798706245153,182,1897,Classics,/works/OL85892W,https://openlibrary.org/works/OL85892W
Fahrenheit 451,Ray Bradbury,3.9765258,9786053757818,426,1953,Science Fiction,/works/OL103123W,https://openlibrary.org/works/OL103123W
Gone Girl,Gillian Flynn,3.7246377,9780297859390,69,2011,Thriller,/works/OL16239762W,https://openlibrary.org/works/OL16239762W
Jane Eyre,Charlotte Bronte,4.035294,9781673182576,170,1847,Classics,/works/OL1095427W,https://openlibrary.org/works/OL1095427W
Kindred,Octavia E. Butler,4.4166665,8592795192,48,1979,Science Fiction,/works/OL35616W,https://openlibrary.org/works/OL35616W
Mistborn,Brandon Sanderson,4.909091,1429989815,11,2001,Fantasy,/works/OL16044142W,https://openlibrary.org/works/OL16044142W
Moby Dick,Herman Melville,3.9673913,0451512391,184,1851,Classics,/works/OL102749W,https://openlibrary.org/works/OL102749W
Neuromancer,William Gibson,4.0641026,9788758804118,78,1984,Science Fiction,/works/OL27258W,https://openlibrary.org/works/OL27258W
Rebecca,Daphne du Maurier,4.1555557,9780435270414,45,1938,Mystery,/works/OL36633W,https://openlibrary.org/works/OL36633W
The Color Purple,Alice Walker,4.195402,9780812406528,87,1976,Fiction,/works/OL273644W,https://openlibrary.org/works/OL273644W
The Dispossessed,Ursula K. Le Guin,4.4117646,9788445009307,34,1974,Science Fiction,/works/OL59863W,https://openlibrary.org/works/OL59863W
The Handmaid's Tale,Margaret Atwood,3.9590163,9780525435006,122,1985,Dystopian,/works/OL675783W,https://openlibrary.org/works/OL675783W
The Left Hand of Darkness,Ursula K. Le Guin,4.22,0394299922,50,1969,Science Fiction,/works/OL59800W,https://openlibrary.org/works/OL59800W
The Martian,Andy Weir,4.393846,9780804139038,325,2011,Science Fiction,/works/OL17091839W,https://openlibrary.org/works/OL17091839W
The Murder of Roger Ackroyd,Agatha Christie,4.213333,9780671701185,75,1926,Mystery,/works/OL471932W,https://openlibrary.org/works/OL471932W
The Name of the Wind,Patrick Rothfuss,4.3386455,0575081384,251,2007,Fantasy,/works/OL8479867W,https://openlibrary.org/works/OL8479867W
The Picture of Dorian Gray,Oscar Wilde,4.15,1658170806,120,1890,Classics,/works/OL8193416W,https://openlibrary.org/works/OL8193416W
The Secret History,Donna Tartt,4.013158,9780241982884,76,1992,Fiction,/works/OL4321141W,https://openlibrary.org/works/OL4321141W
